"Participant_ID","Full_Name","Province_Code","Training_Module","Start_Date","End_Date","Attendance_Pct","Pre_Test_Score","Post_Test_Score","Equipment_Assigned","Equipment_Returned","Funding_Sponsor"
"EMP-037","Aphiwe Sithole","Eastern Cape","Community_Arch_Survey","13-05-2026","2026-05-27","61","65","49","Tablet_B12","Unreturned","DSAC_Fund"
"EMP-047","Nokuthula Pillay","Eastern Cape","Community_Arch_Survey","2026-02-12","2026-02-26","55","29","48","Dumpy_Level_A7","Returned","Private_Donor"
"EMP-096","Sibusiso Du Plessis","Eastern Cape","Community_Arch_Survey","2026-04-13","2026-04-27","38","21","81","Dumpy_Level_B5","Returned","Private_Donor"
"EMP-020","Nokuthula Khoza","Free State","Community_Arch_Survey","14/05/2026","2026-05-28","96","62","0","GPS_Unit_B3","Returned","SAHRA_Grant"
"EMP-093","Teboho Botha","Free State","GPR_Spatial_Mapping","11-04-2026","2026-04-25","83","47","40","GPS_Unit_T11","Unreturned","SAHRA_Grant"
"EMP-001","Sibusiso Dlamini","Gauteng","GPR_Spatial_Mapping","2026/01/10","2026-01-24","95","45","88","GPS_Unit_A1","Returned","SAHRA_Grant"
"EMP-003","Thabo Mokoena","Gauteng","GPR_Spatial_Mapping","2026-02-01","2026-02-15","100","30","92","GPS_Unit_A2","Returned","DSAC_Fund"
"EMP-008","Kagiso Lesedi","Gauteng","GPR_Spatial_Mapping","2026/03/05","2026/03/19","73","40","95","Tablet_T08","Returned","SAHRA_Grant"
"EMP-011","Anelisa Sithole","Gauteng","GPR_Spatial_Mapping","2026/04/01","2026-04-15","65","35","58","GPS_Unit_A3","Unreturned","SAHRA_Grant"
"EMP-014","Teboho Molefe","Gauteng","GPR_Spatial_Mapping","2026/05/01","2026-05-15","50","20","40","GPS_Unit_A4","Unreturned","SAHRA_Grant"
"EMP-022","Nomvula Smith","Gauteng","3D_Digital_Preservation","2026/06/07","2026-06-21","93","36","44","Laser_Scanner_08","Returned","National_Lotteries"
"EMP-023","Lethabo Coetzee","Gauteng","Arch_Site_Cataloguing","12-07-2026","2026-07-26","58","30","86","Tablet_T6","Returned","Private_Donor"
"EMP-025","Nandi Sithole","Gauteng","3D_Digital_Preservation","2026/07/11","2026-07-25","86","61","50","Tablet_02","Returned","SAHRA_Grant"
"EMP-026","Nokuthula Sithole","Gauteng","Arch_Site_Cataloguing","2026-01-20","2026-02-03","84","58","74","Dumpy_Level_T14","Unreturned","DSAC_Fund"
"EMP-029","Nandi Botha","Gauteng","3D_Digital_Preservation","2026-01-05","2026-01-19","89","39","100","Laser_Scanner_013","Returned","DSAC_Fund"
"EMP-034","Pieter Sitole","Gauteng","3D_Digital_Preservation","2026-04-08","2026-04-22","60","61","53","Dumpy_Level_B2","Returned","DSAC_Fund"
"EMP-035","Sipho Du Plessis","Gauteng","Arch_Site_Cataloguing","09-08-2026","2026-08-23","73","61","72","Laser_Scanner_A7","Returned","National_Lotteries"
